swc_id,denRadius
17109_1701_x8048_y22277,119.12579442883428
17109_1801_x6698_y12550,135.61050624062287
17109_1901_x9602_y10508,135.098438410404
17109_2201_x8046_y23301,141.92433073188312
17109_2301_x8535_y23051,159.62052543610923
17109_2301_x9418_y23665,120.95202247823057
17109_2401_x8977_y24184,123.75328520689449
17109_2401_x9338_y2394,117.21534567847928
17109_2401_x9695_y9693,109.14438670427725
17109_2401_x9954_y9122,137.30368133894476
17109_2500_x9864_y9311,113.1694736874409
17109_2601_x10213_y8783,120.15594626152001
17109_2601_x9296_y24691,134.4373662296087
17109_2601_x9498_y8169,147.8831528369673
17109_3101_x10824_y7188,127.76246217551244
17109_3701_x9228_y26684,136.78257255703633
17109_4101_x6753_y6197,169.09393948554353
17109_4764_x6621_y5727,129.51726609143913
17109_4772_x9038_y27257,169.1196281603165
17109_6201_x4328_y6753,144.85250708705226
17109_6301_x4756_y24516,126.64592813742286
17109_6401_x7641_y3978,161.59911733737687
17109_6401_x7989_y3767,129.89418054170937
17109_6501_x6997_y4287,127.0694568114588
17109_6601_x4384_y7436,167.39428844600488
17109_6601_x5417_y25287,155.20159038492542
17109_6801_x7432_y4405,127.02854362857789
17109_6901_x7203_y26714,161.26091196833488
17109_7001_x5738_y6470,127.59148885581853
17109_7001_x6205_y5194,119.21528370941624
17300_3426_x20339_y44872,172.94021296201134
17300_3514_x19676_y45282,177.79675488063066
17300_5571_x27063_y39610,175.59664687643271
17300_5896_x24862_y27320,115.81187855914428
17300_5969_x27278_y20820,198.5120007356671
17300_6010_x23413_y13446,193.33464229947865
17302_00001,106.35647867095065
17302_00002,119.68151705372472
17302_00003,116.39887688664793
17302_00005,127.92500211400109
17302_00006,117.48651424456543
17302_00007,109.64653596324513
17302_00009,106.08491086145204
17302_00010,113.69712411180612
17302_00011,112.00932387150802
17302_00013,114.43486427854037
17302_00014,138.78715709059838
17302_00015,99.2752409315921
17302_00016,123.47103212736488
17302_00017,106.418461979644
17302_00018,117.54529102969525
17302_00020,123.03284418904181
17302_00021,113.8074731627837
17302_00023,123.26521949517527
17302_00024,126.10999856604583
17302_00025,101.75884576215932
17302_00027,115.83532419116685
17302_00030,126.35538670615585
17302_00031,134.83079345468494
17302_00032,137.38504549100438
17302_00033,114.23868050765041
17302_00035,101.30385646409121
17302_00036,116.87651045168764
17302_00037,103.4582702694767
17302_00038,91.60126178596904
17302_00039,80.63810919713016
17302_00040,81.82373653288573
17302_00041,59.640920048476154
17302_00043,115.15432347849477
17302_00044,111.05549837036541
17302_00045,119.02662933878202
17302_00046,108.14049285162461
17302_00047,104.18601057659335
17302_00048,99.14623397451739
17302_00049,66.87451608209986
17302_00050,104.2734454956039
17302_00052,111.37935094531159
17302_00053,105.3979688596547
17302_00054,144.11194303388461
17302_00055,93.11080316479013
17302_00056,112.50234719272879
17302_00057,111.48385156585138
17302_00059,98.95638298749755
17302_00062,105.73769013515708
17302_00063,117.65494269172069
17302_00064,88.31452180328193
17302_00065,84.96182259044053
17302_00066,76.82350837593613
17302_00074,107.90102827115444
17302_00075,127.0145110020331
17302_00076,123.66463173644395
17302_00077,101.26472651726496
17302_00078,93.38122379035339
17302_00079,115.68941820951127
17302_00080,99.88225714208716
17302_00081,103.58000668631006
17302_00085,127.22595021832157
17302_00086,106.02251515450864
17302_00087,99.57588286334939
17302_00091,103.23993197250354
17302_00093,117.53113442962452
17302_00094,107.36714767719626
17302_00095,110.830472762949
17302_00096,120.03879709535028
17302_00097,117.82345842797909
17302_00098,121.54456727660381
